,x_avg_pixel,amostras,proporção,higher_than_threshold
505,0.18545495,ddgan,0.3,0.0
506,0.09512867,ddgan,0.3,0.0
507,0.13235295,ddgan,0.3,0.0
508,0.14596738,ddgan,0.3,0.0
509,0.9040825,ddgan,0.3,1.0
510,0.19780178,ddgan,0.3,0.0
511,0.15086934,ddgan,0.3,0.0
512,0.11236979,ddgan,0.3,0.0
513,0.1027497,ddgan,0.3,0.0
514,0.14112286,ddgan,0.3,0.0
515,0.9142579,ddgan,0.3,1.0
516,0.83257896,ddgan,0.3,1.0
517,0.11907935,ddgan,0.3,0.0
518,0.75726104,ddgan,0.3,1.0
519,0.15252376,ddgan,0.3,0.0
520,0.19829963,ddgan,0.3,0.0
521,0.11747089,ddgan,0.3,0.0
522,0.16510801,ddgan,0.3,0.0
523,0.80836403,ddgan,0.3,1.0
524,0.81906784,ddgan,0.3,1.0
525,0.26910233,ddgan,0.3,0.0
526,0.73928463,ddgan,0.3,1.0
527,0.061848957,ddgan,0.3,0.0
528,0.119956344,ddgan,0.3,0.0
529,0.18999311,ddgan,0.3,0.0
530,0.10119102,ddgan,0.3,0.0
531,0.9482881,ddgan,0.3,1.0
532,0.15173483,ddgan,0.3,0.0
533,0.18147212,ddgan,0.3,0.0
534,0.909758,ddgan,0.3,1.0
535,0.116042435,ddgan,0.3,0.0
536,0.16928232,ddgan,0.3,0.0
537,0.059137568,ddgan,0.3,0.0
538,0.080890015,ddgan,0.3,0.0
539,0.0750383,ddgan,0.3,0.0
540,0.19092755,ddgan,0.3,0.0
541,0.18128447,ddgan,0.3,0.0
542,0.16507353,ddgan,0.3,0.0
543,0.12508042,ddgan,0.3,0.0
544,0.12891391,ddgan,0.3,0.0
545,0.15277268,ddgan,0.3,0.0
546,0.7645719,ddgan,0.3,1.0
547,0.2318704,ddgan,0.3,0.0
548,0.12716758,ddgan,0.3,0.0
549,0.26856235,ddgan,0.3,0.0
550,0.21785003,ddgan,0.3,0.0
551,0.098594524,ddgan,0.3,0.0
552,0.19746861,ddgan,0.3,0.0
553,0.17425323,ddgan,0.3,0.0
554,0.1499081,ddgan,0.3,0.0
555,0.16414677,ddgan,0.3,0.0
556,0.09517847,ddgan,0.3,0.0
557,0.05014553,ddgan,0.3,0.0
558,0.8753562,ddgan,0.3,1.0
559,0.15312883,ddgan,0.3,0.0
560,0.12514935,ddgan,0.3,0.0
561,0.093225345,ddgan,0.3,0.0
562,0.12101333,ddgan,0.3,0.0
563,0.09612438,ddgan,0.3,0.0
564,0.09895068,ddgan,0.3,0.0
565,0.11361826,ddgan,0.3,0.0
566,0.16606924,ddgan,0.3,0.0
567,0.20392159,ddgan,0.3,0.0
568,0.19297642,ddgan,0.3,0.0
569,0.17160693,ddgan,0.3,0.0
570,0.90750223,ddgan,0.3,1.0
571,0.14168966,ddgan,0.3,0.0
572,0.09784007,ddgan,0.3,0.0
573,0.84718144,ddgan,0.3,1.0
574,0.075896144,ddgan,0.3,0.0
575,0.81388247,ddgan,0.3,1.0
576,0.14575675,ddgan,0.3,0.0
577,0.15345436,ddgan,0.3,0.0
578,0.17758502,ddgan,0.3,0.0
579,0.14069012,ddgan,0.3,0.0
580,0.08329886,ddgan,0.3,0.0
581,0.10808441,ddgan,0.3,0.0
582,0.920638,ddgan,0.3,1.0
583,0.84708565,ddgan,0.3,1.0
584,0.8731733,ddgan,0.3,1.0
585,0.8580346,ddgan,0.3,1.0
586,0.85780483,ddgan,0.3,1.0
587,0.87842,ddgan,0.3,1.0
588,0.8093022,ddgan,0.3,1.0
589,0.8320849,ddgan,0.3,1.0
590,0.0924709,ddgan,0.3,0.0
591,0.14536613,ddgan,0.3,0.0
592,0.10761337,ddgan,0.3,0.0
593,0.17906326,ddgan,0.3,0.0
594,0.85718066,ddgan,0.3,1.0
595,0.1800475,ddgan,0.3,0.0
596,0.85535765,ddgan,0.3,1.0
597,0.14297257,ddgan,0.3,0.0
598,0.14028798,ddgan,0.3,0.0
599,0.17516467,ddgan,0.3,0.0
600,0.0637523,ddgan,0.3,0.0
601,0.116322,ddgan,0.3,0.0
602,0.21590073,ddgan,0.3,0.0
603,0.89083946,ddgan,0.3,1.0
604,0.797863,ddgan,0.3,1.0
605,0.21276808,ddgan,0.3,0.0
606,0.8971508,ddgan,0.3,1.0
607,0.081973806,ddgan,0.3,0.0
608,0.8974571,ddgan,0.3,1.0
609,0.18685278,ddgan,0.3,0.0
610,0.104067095,ddgan,0.3,0.0
611,0.13867953,ddgan,0.3,0.0
612,0.14078969,ddgan,0.3,0.0
613,0.14675629,ddgan,0.3,0.0
614,0.1679879,ddgan,0.3,0.0
615,0.11539905,ddgan,0.3,0.0
